expand href,column-occurred,column-city,column-state,column-country,column-shape,column-summary,column-reported,column-hasimage,column-explanation
https://nuforc.org/sighting/?id=176902,07/23/2023 21:06,Limon,CO,USA,Light,A large yellow-green ball of light plummeting very fast and suddenly disappearing while still high in the sky,07/23/2023,,
https://nuforc.org/sighting/?id=176904,07/23/2023 21:00,Northfield,NH,USA,Cross,a T shaped cluster of blue/white lights hovering over I93,07/23/2023,,
https://nuforc.org/sighting/?id=178402,07/23/2023 02:15,North Battleford,SK,Canada,Cube,Something in the Sky east of North Battleford,09/21/2023,Y,
https://nuforc.org/sighting/?id=176890,07/22/2023 07:31,La Porte,TX,USA,Disk,Really close and hovering,07/24/2023,Y,
https://nuforc.org/sighting/?id=177037,07/20/2023 19:18,Salem,OR,USA,Cube,Saw flying rectangular metallic object then it vanished into thin air,07/27/2023,,
https://nuforc.org/sighting/?id=178691,07/18/2023 21:15,Farmington,NM,USA,Other,I saw a UFO for summer; a brief UFO visit,10/06/2023,Y,
https://nuforc.org/sighting/?id=176823,07/18/2023 03:15,Fredericksburg,VA,International Waters,Chevron,Was watching ISS live stream and these lights drew my attention,07/18/2023,Y,
https://nuforc.org/sighting/?id=177629,07/16/2023 22:00,Folsom,NM,USA,Rectangle,"Massive rectangular UFO/UAP, like a flying skyscraper that passes over our car and vanishes. It was unlike anything i could imagine",08/15/2023,Y,
https://nuforc.org/sighting/?id=176818,07/16/2023 21:03,Milwaukee,WI,USA,Fireball,Saw 2 balls of light close together. Flew off into distance. A 3rd one came 30 seconds later into the same direction,07/17/2023,Y,Chinese Lantern
https://nuforc.org/sighting/?id=177345,07/15/2023 23:30,Port Angeles,WA,USA,Orb,"We saw so many crafts flying through the sky, followed by sometimes completely creepy",08/06/2023,,
https://nuforc.org/sighting/?id=176855,07/15/2023 00:01,Shasta City,CA,USA,Light,"Large, BRIGHT ""bobbing"" light across sky disappeared behind? Mountain",07/21/2023,,
https://nuforc.org/sighting/?id=176782,07/13/2023 23:40,Portland,OR,USA,Unknown,"Sighted a series of bright lights of varying colors. Appeared to be over NE Portland, descending and moving from south to north",07/15/2023,,
https://nuforc.org/sighting/?id=178134,07/13/2023 11:00,Gilbert,AZ,USA,Sphere,Sphere the size of a smallish volleyball motionless in the hallway of my home,09/07/2023,,
https://nuforc.org/sighting/?id=176741,07/11/2023 22:00,Hubbardston,MI,USA,Orb,Small bluish orb followed by Army Blackhawk helicopter,07/13/2023,,
https://nuforc.org/sighting/?id=176686,07/10/2023 23:56,winchester,VA,USA,Oval,"While scanning the area below Alberio, I saw a flash and then a smoke ring.",07/11/2023,,
https://nuforc.org/sighting/?id=176695,07/10/2023 20:29,Defiance,MO,USA,Cigar,Witnessed a tic-tac/cigar shaped object while taking my dog out,07/10/2023,Y,
https://nuforc.org/sighting/?id=176841,07/10/2023 07:20,Lincoln,NE,USA,Egg,Silver object flying in a westward direction off in a distace.,07/18/2023,Y,
https://nuforc.org/sighting/?id=177123,07/09/2023 05:00,Oxnard,CA,USA,Circle,"Saw an airliner pass south going to LAX from SBA VORTAC. Then saw another object lower going NE towards SBA VORTAC, which is normal.",07/21/2023,,
https://nuforc.org/sighting/?id=176678,07/07/2023 21:30,Lincoln,CA,USA,Other,6 different 4 horizontal light objects leaving silo/bldg area 3 traveled N. & turning back descending 3 going S. slowly rising.,07/10/2023,,
https://nuforc.org/sighting/?id=176842,07/04/2023 23:00,cheshire,CT,USA,Disk,A charcoal gray saucer the size of a football field was above the trees right in front of me...it had 3 large lights/windows and,07/19/2023,,
https://nuforc.org/sighting/?id=176581,07/03/2023 22:10,Knoxville,TN,USA,Orb,"White strobe-like light moving at very high speed with instant acceleration and deceleration, with instant 90 degree turns.",07/04/2023,,
https://nuforc.org/sighting/?id=176639,07/03/2023 20:42,Phoenix,AZ,USA,Star,Starlike UFO drops a mysterious teardrop object before vanishing into thin air.,07/07/2023,Y,
https://nuforc.org/sighting/?id=176566,07/02/2023 21:45,Elizabethtown,PA,USA,Light,A short creature with big black shiny eyes ran from my shed back behind my car and then green lights flashed and it was gone.,07/03/2023,Y,
https://nuforc.org/sighting/?id=176539,07/01/2023 03:30,Approx. 2.5 NM off coast of Sloop Point,NJ,USA,Cube,Pulled alongside my boat. I was afraid I was going to hit it. Stayed about 20 feet and hovered just off surface.,07/01/2023,,
https://nuforc.org/sighting/?id=176675,06/29/2023 13:30,,,Kyrgyzstan,Other,We were flying westbound FL320. I saw a contact approaching our right (North) side. TCAS showed nothing. Passed close slightly higher,07/10/2023,Y,
https://nuforc.org/sighting/?id=188188,06/28/2023 20:55,Taos,NM,USA,Cigar,"While camping, we saw a huge cigar-shaped craft with lights. It came close, then drifted away.",03/08/2025,,
